Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,pfr_id
330,Patrick Hape,DEN,TE,28,16,0,0,0,0,0,0,0,0,,0,14,6,26,4.33,2,0,,2,,,15,20.6,20.6,17.6,,55,,HapePa00
331,Jerald Sowell,NYJ,FB,28,16,0,0,0,0,0,0,1,0,0.00,0,13,9,85,9.44,1,0,,1,,,15,23.5,23.5,19.0,,98,,SoweJe00
332,Reggie Swinton,DAL,WR,27,14,0,0,0,0,0,0,1,23,23.00,0,10,7,63,9.00,0,1,,1,,,15,21.6,21.6,18.1,,127,,SwinRe00
333,James Whalen,DAL,TE,25,16,6,0,0,0,0,0,0,0,,0,29,17,152,8.94,0,0,,0,,,15,32.2,35.2,23.7,,54,,WhalJa00
334,James Fenderson,NOR,RB,26,16,1,0,0,0,0,0,13,65,5.00,1,10,6,38,6.33,0,1,1,1,,,14,20.3,21.3,17.3,,99,,FendJa00
335,Gus Frerotte,CIN,QB,31,4,3,44,85,437,1,5,4,22,5.50,0,0,0,0,,0,2,,0,,,14,13.7,21.7,18.7,,54,,FrerGu00
336,Jacquez Green,2TM,WR,26,10,0,0,0,0,0,0,2,9,4.50,0,21,5,94,18.80,0,1,1,1,,,14,19.3,20.3,16.8,,128,,GreeJa00
337,Karl Hankton,CAR,WR,32,16,1,0,0,0,0,0,2,-4,-2.00,0,17,9,146,16.22,0,0,,0,,,14,23.2,26.2,18.7,,129,,HankKa00
338,Rondell Mealey,GNB,RB,25,3,1,0,0,0,0,0,11,36,3.27,1,9,7,45,6.43,0,0,,1,,,14,21.1,21.1,17.6,,100,,MealRo00
339,Scottie Montgomery,DEN,WR,24,15,0,0,0,0,0,0,4,27,6.75,0,6,4,51,12.75,1,0,,1,,,14,17.8,17.8,15.8,,130,,MontSc00
340,Mark Bruener,PIT,TE,30,12,12,0,0,0,0,0,0,0,,0,18,13,66,5.08,1,0,,1,,,13,25.6,25.6,19.1,,58,,BrueMa00
341,Chris Fuamatu-Ma'afala,PIT,RB,25,8,0,0,0,0,0,0,23,115,5.00,0,3,2,12,6.00,0,0,,0,,,13,14.7,17.7,13.7,,101,,FuamCh00
342,John Gilmore,CHI,TE,23,8,4,0,0,0,0,0,0,0,,0,14,10,130,13.00,0,0,,0,,,13,23.0,26.0,18.0,,56,,GilmJo00
343,Chad Morton,NYJ,RB,25,16,0,0,0,0,0,0,4,8,2.00,0,5,3,19,6.33,0,1,1,2,,,13,15.7,16.7,14.2,,102,,MortCh00
344,Jon Ritchie,OAK,FB,28,16,2,0,0,0,0,0,0,0,,0,21,10,66,6.60,1,1,,1,,,13,22.6,22.6,17.6,,103,,RitcJo00
345,David Sloan,NOR,TE,30,16,14,0,0,0,0,0,0,0,,0,25,12,127,10.58,0,0,,0,,,13,24.7,27.7,18.7,,57,,SloaDa00
346,Derrick Blaylock,KAN,RB,23,12,0,0,0,0,0,0,16,72,4.50,0,10,5,47,9.40,0,0,,0,,,12,16.9,16.9,14.4,,106,,BlayDe00
347,Danny Farmer,CIN,WR,25,8,1,0,0,0,0,0,0,0,,0,15,9,115,12.78,0,0,,0,,,12,20.5,23.5,16.0,,132,,FarmDa00
348,Randy Hymes,BAL,WR,23,7,2,0,0,0,0,0,0,0,,0,13,6,123,20.50,0,0,,0,,,12,18.3,21.3,15.3,,131,,HymeRa00
349,Brian Mitchell,PHI,RB,34,16,0,1,1,57,1,0,0,0,,0,0,0,0,,0,3,,1,,,12,12.3,12.3,12.3,,105,,MitcBr00
350,Paul Smith,SFO,RB,24,11,0,0,0,0,0,0,18,90,5.00,0,8,5,33,6.60,0,0,,0,,,12,17.3,17.3,14.8,,104,,SmitPa00
351,Jerame Tuman,PIT,TE,26,13,7,0,0,0,0,0,0,0,,0,14,4,63,15.75,1,0,,1,,,12,16.3,16.3,14.3,,59,,TumaJe00
352,Ricky Williams,IND,RB,24,10,0,0,0,0,0,0,11,35,3.18,0,2,1,20,20.00,1,0,,1,,,12,12.5,12.5,12.0,,107,,WillRi01
353,Jarrod Baxter,HOU,FB,23,16,10,0,0,0,0,0,7,14,2.00,0,10,5,33,6.60,1,0,,1,,,11,15.7,15.7,13.2,,110,,BaxtJa00
354,Avion Black,HOU,WR,25,11,0,0,0,0,0,0,0,0,,0,12,6,52,8.67,0,2,,1,,,11,17.2,17.2,14.2,,133,,BlacAv00
